SYMBOL, SERIES, DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY, DELIV_PER
20MICRONS, EQ,18-Sep-19,35.6,36.4,36.4,35,36,35.8,35.78,17255,6.17,328,12835,74.38
21STCENMGM, EQ, 18-Sep-2019,12.3,12.3,12.3,12.2,12.2,12.2,12.23,4,0,2,4,100
3IINFOTECH, EQ, 18-Sep-2019,2.25,2.25,2.45,2.25,2.45,2.4,2.33,910187,21.22,453,540423,59.37
3MINDIA, EQ, 18-Sep-2019,19207.1,19400,19499.7,18905.05,18995,19170.3,19338.84,5019,970.62,1459,3423,68.2
3PLAND, EQ, 18-Sep-2019,6.15,5.85,5.85,5.85,5.85,5.85,5.85,10,0,1,10,100
5PAISA, EQ, 18-Sep-2019,137.6,138.05,142.35,134.2,139.2,139.7,138.87,4444,6.17,252,2474,55.67
63MOONS, EQ, 18-Sep-2019,133.7,139,140.35,135.5,140.35,140.35,139.62,646434,902.54,4729,219055,33.89
726GS2029, GS, 18-Sep-2019,95,99,99,96,96,96,97.5,200,0.2,2,200,100
757GS2033, GS, 18-Sep-2019,100,104,104,104,104,104,104,500,0.52,1,500,100
769GS2043, GS, 18-Sep-2019,100,100,100,100,100,100,100,100,0.1,3,100,100
808GS2022, GS, 18-Sep-2019,105.5,100.29,100.29,100.29,100.29,100.29,100.29,1,0,1,1,100
8KMILES, EQ, 18-Sep-2019,68.15,68.8,68.8,64.75,64.75,64.75,65.56,84634,55.49,846,61090,72.18
A2ZINFRA, EQ, 18-Sep-2019,10.1,10.2,10.35,10.1,10.15,10.15,10.19,95703,9.75,190,56998,59.56
AARON, SM, 18-Sep-2019,45,45.3,45.3,45.3,45.3,45.3,45.3,3300,1.49,1,3300,100
AARTIDRUGS, EQ, 18-Sep-2019,439.9,443.4,476.55,439,455.75,455.4,461.42,25341,116.93,2159,8258,32.59
AARTIIND, EQ, 18-Sep-2019,1545.6,1558,1563,1525.2,1558,1559.5,1549.54,42095,652.28,4315,24439,58.06
AARVEEDEN, EQ, 18-Sep-2019,17.3,17.95,18.95,17.15,17.75,17.5,17.83,6153,1.1,235,3851,62.59
AARVI, SM, 18-Sep-2019,28.5,29.9,29.9,29.9,29.9,29.9,29.9,6000,1.79,3,6000,100
AAVAS, EQ, 18-Sep-2019,1481.65,1485,1539,1451,1468,1471.75,1486.65,16866,250.74,2313,5894,34.95
ABAN, EQ, 18-Sep-2019,32.35,33.4,33.95,32.5,33.95,33.95,33.71,213510,71.97,1417,122735,57.48
ABB, EQ, 18-Sep-2019,1336.25,1333.1,1339.5,1324,1326,1325.9,1329.97,26589,353.63,1909,17343,65.23
ABBOTINDIA, EQ, 18-Sep-2019,9746,9775,9960,9775,9941.8,9936.15,9919.52,13899,1378.71,3096,10376,74.65
ABCAPITAL, EQ, 18-Sep-2019,91.5,92.15,92.55,90.45,90.8,90.8,91.26,724851,661.47,7038,411990,56.84
ABFRL, EQ, 18-Sep-2019,184.4,185.55,189.5,184.5,189.15,188.7,187.99,423694,796.52,9538,281390,66.41
ABSLNN50ET, EQ, 18-Sep-2019,261.95,261,261,260,260.61,260.61,260.06,5025,13.07,788,4990,99.3
ABSLRIF6RG, MF, 18-Sep-2019,6.75,6.3,6.54,6.3,6.54,6.54,6.52,11000,0.72,14,11000,100
ACC, EQ, 18-Sep-2019,1491.65,1493.5,1510,1488,1491,1490.7,1498.89,693925,10401.19,27015,169355,24.41
ACCELYA, EQ, 18-Sep-2019,850.45,851.3,861.25,850,853.7,850.1,850.35,4131,35.13,162,3723,90.12
ACCURACY, SM, 18-Sep-2019,34,35,35.7,35,35.6,35.65,35.38,6400,2.26,4,1600,25
ACE, EQ, 18-Sep-2019,66.2,66.6,68.4,66.35,66.55,66.65,67.11,107584,72.2,2164,38968,36.22
ACEINTEG, SM, 18-Sep-2019,25.7,24.5,24.5,24.5,24.5,24.5,24.5,3000,0.74,1,3000,100
ADANIENT, EQ, 18-Sep-2019,143.75,144,146,142.1,145,144.15,144.15,3465608,4995.5,18688,381321,11
ADANIGAS, EQ, 18-Sep-2019,139.5,140.95,141.5,138,138.3,138.35,139.57,227492,317.5,2621,121224,53.29
ADANIGREEN, EQ, 18-Sep-2019,54.85,55.6,55.7,52,52.85,53.05,53.76,1049757,564.3,5439,305790,29.13
ADANIPORTS, EQ, 18-Sep-2019,365.3,365,368.3,364.2,366.6,366.35,366.22,1469778,5382.64,21819,534722,36.38
ADANIPOWER, EQ, 18-Sep-2019,63.8,64.4,64.95,62.95,64.35,64.25,64,9861516,6311.15,37135,1246687,12.64
ADANITRANS, EQ, 18-Sep-2019,222.45,220.45,227,220.45,224,223.7,224.64,48095,108.04,1245,20510,42.64
ADFFOODS, EQ, 18-Sep-2019,272.4,273.5,291.7,273.5,284,281.15,285.74,146660,419.06,6035,37648,25.67
ADHUNIK, BE, 18-Sep-2019,1.1,1.1,1.1,1.05,1.05,1.05,1.07,18481,0.2,29, -, -
ADHUNIKIND, EQ, 18-Sep-2019,88.9,89.2,90,88,89.35,89.15,89.05,49167,43.79,354,33709,68.56
ADLABS, EQ, 18-Sep-2019,3.4,3.3,3.5,3.3,3.3,3.3,3.32,49104,1.63,215,39497,80.44
ADORWELD, EQ, 18-Sep-2019,311,312,315.5,305,306.15,306.85,309.31,5456,16.88,367,3408,62.46
ADROITINFO, BE, 18-Sep-2019,9,9.45,9.45,8.6,9.3,9.3,9.15,3229,0.3,18, -, -
